名字,性别,时间,评论,点赞数,回复数
驴道人,保密,2020-06-05 00:04:02,又想骗我回家种地,0,0
bili2592517333,保密,2020-06-05 00:03:44,在这吃饭，肯定要变成胖子了[喜极而泣],0,0
WorldisEnd,保密,2020-06-05 00:01:54,[支持],1,0
新手上路808,男,2020-06-04 23:59:49,说实话，这位不是我的初心，但是，如果她永久停更啦的话，我大概也随之走了，，，不知道是她的美，心灵，巧手，还是视频里的美食美景吸引了我。说不出理由。但就是很喜欢看，每次都是先收藏，然后下载到手机里，再慢慢欣赏，慢慢品味。美食，阿婆主等，也曾异想天开，或者可以说是习惯成自然的发梦过，但却始终清醒着，这是只可远观，不可得之之梦幻。能隔三差五的这样循环，循环。或许已足够。而立之年，确实多愁善感也随着烦恼逐渐多了起来。哎，不说了，去搬砖啦,1,0
风清月冷人不寐,男,2020-06-04 23:58:35,你上我们语文试卷的文章了[星星眼]，加油(ง •̀_•́)ง,1,1
轩酱哑哑,女,2020-06-04 23:55:41,子柒每次一更，我的眼泪就忍不住从我的口中流出来[doge],0,0
my_own_room,女,2020-06-04 23:52:48,真的是神仙姐姐,0,0
陀螺先森,男,2020-06-04 23:51:29,看了子柒的土豆全宴，让人汗颜，实在羞于承认是吃土豆长大的甘肃人。原来土豆有这么多吃法[星星眼][星星眼][星星眼],0,0
知了了zl,保密,2020-06-04 23:49:32,啊我看到几个有些绿色的土豆了，原来这样程度的还是可以吃的吗，我一直搞不清土豆那种程度是有毒不可以吃的，上次还丢了好几个大大圆圆只是有点点绿色的，想起来觉得好浪费[捂脸],0,1
思君宁,保密,2020-06-04 23:46:09,最近考试都再考李子柒，我这个班里唯一的粉丝最占便宜了[doge],1,0
樱田八嘎酱,女,2020-06-04 23:45:07,做梦都想吃,1,0
DeletA迪利塔,保密,2020-06-04 23:44:29,昨天刚好看到关于土豆的知识，明末清初由海员水手带到中国，推广种植之后，填饱了百姓的肚皮，让中国的人口出现了大爆发,0,0
璇花美男,女,2020-06-04 23:44:28,我想知道视频最后那朵叫什么，我一时想不起叫什么！,0,1
沧空阔远,保密,2020-06-04 23:43:20,[热词系列_知识增加]妙~,0,0
那个顶上的人,男,2020-06-04 23:42:19,很喜欢这系列视频，加油,0,0
鑫洋渺渺,保密,2020-06-04 23:42:10,不看评论我就把紫土豆看成紫薯了[呲牙][呲牙],0,0
kyslex,男,2020-06-04 23:41:02,美翻了,0,0
克莱库里水花兄弟,保密,2020-06-04 23:39:54,lbwnb,0,0
草帽鱼,保密,2020-06-04 23:39:32,镜头最后那里，我哭了,0,0
吧唧鲫鱼,保密,2020-06-04 23:35:40,喜欢给自己妈刻仙人板板的人才会这么喜欢说刻板印象刻板印象吧[呲牙],0,0
86982895611_bili,保密,2020-06-04 23:34:54,"好看倒是好看
但我总觉得不像真正农村人的日常生活[doge]
@Claudio-Abbado",0,6
李子㭍,保密,2020-06-04 23:31:48,"我觉得没有人不爱吃土豆的吧！
一颗土豆大卸八块埋土里等啊等，
每一块都能结出好多好多小土豆！
每颗小土豆又能做成土豆烧排骨，酸辣土豆粉，土豆泥、土豆薯片…等等等等……
你的家乡还有没啥地道的土豆吃法啊？",0,0
问六明,女,2020-06-04 23:31:37,下午看视频太入迷忘记三连，看评论又忙着看科普又忘记三连，现在想起来了[doge],0,0
翠花妞妞来了,女,2020-06-04 23:30:29,小时候特别讨厌土豆，但从吃到土豆饼那刻开始就改观了！,0,0
lovelinessviper,保密,2020-06-04 23:28:18,其他的先不说，我就想知道，掉地上那个桃子你捡起来没有？,0,0
明日依旧---风平浪静,保密,2020-06-04 23:26:18,子柒不在币为谁弹,0,0
甜星星不甜,保密,2020-06-04 23:23:39,土·萨沙·快乐·豆[OK],0,0
inko酱,女,2020-06-04 23:23:07,啊~蜀地姑娘,0,0
江湖人称浅笑吖,女,2020-06-04 23:22:36,大爱李子柒，口水留了一地啊,0,0
威海漫展Official,女,2020-06-04 23:18:05,超想去这种地方呆着好安静,0,0
雨塘回忆,男,2020-06-04 23:15:10,土豆，芋头，红薯，地瓜都是不一样的东西,0,0
辞小蔻,保密,2020-06-04 23:11:31,子柒姐姐真的好好看啊,0,0
吃土豆的萝卜星人,男,2020-06-04 23:11:15,那啥，隔壁小孩都馋哭了[星星眼],0,0
O3310N715,保密,2020-06-04 23:11:15,赏心悦目,0,0
马小扁扁扁,女,2020-06-04 23:10:36,正想吃土豆,0,0
